Tool,Link(s),License,Version,Last Update,System Requirements,Supported OS,Description
Knime,https://www.knime.com/,GNU General Public License version 3.0 (GPLv3),4.1.2,3/5/2020,"Sophisticated graphics hardware is not needed, multi core systems a plus as KNIME makes use of multiple cores. The available hard drive space (NOT main memory) limits the amount of processable data - several tens GB free space are recommended. Main memory should be 1GB or above, on 32 bit systems up to 1.5GB can be used, more on 64 bit systems","Windows, macOS, Linux","Data analytics, profiling, reporting and integration platform

KNIME Analytics Platform is an open solution for data-driven innovation, designed for discovering the potential hidden in data, mining for fresh insights, or predicting new futures. Organizations can take their collaboration, productivity and performance to the next level with a robust range of commercial extensions to our open source platform.

KNIME Analytics Platform provides the tools to connect to a host of databases and data warehouses, access a variety of file formats, retrieve data from cloud resources or external services, and more. The broad set of out-of-the-box functionality, allows you to seamlessly integrate and transform the data in one uniform, visual environment on your own - no dependencies on central IT. If there’s a functionality you’re missing, simply integrate the tools you like or take advantage of the many integrations we have with other open source projects.  Workflows created with KNIME Analytics Platform automatically document each step of your data wrangling process. Meaning, if you share workflows or results with your colleagues, they can easily understand the individual steps of your workflow and provide feedback.

KNIME Software covers all kinds of data analytics functionality - for example classification, regression, dimension reduction, or clustering, using advanced algorithms including deep learning, tree-based methods, and logistic regression. Among these, are integrations with other large, open source projects such as Keras or Tensorflow for deep learning, H2O for high performance machine learning, R and Python for coding, and various implementations for model interpretability and validation.

From integrations with Apache Spark for big data processing, to KNIME Server distributed executors for handling concurrent workflow execution, KNIME Software ensures data science is created and deployed quickly and efficiently. 

FEATURES:
-Powerful Analytics
- Data and Tool Blending
- Over 1000 modules and growing
- Connectors for all major file formats and databases
- Supports multiple data types: XML, JSON, images, documetns etc.
- Native and in-database data blending and transformation
- Math and statistical functions
- Advanced predictive and machine learning algorithms
- Workflow control
- Tool blending for Python, R, SQL, Java, Weka and others
- Interactive data views and reporting

DATA SOURCES / FILE FORMATS:
Simple text formats (CSV, PDF, XLS, JSON, XML, etc.)
Unstructured data types (images, documents, networks, molecules, etc.)
Time series data
Connect to a host of databases and data warehouses to integrate data from Oracle, Microsoft SQL, Apache Hive, and more
Load Avro, Parquet, or ORC files from HDFS, S3, or Azure
Access and retrieve data from sources such as Twitter, AWS S3, Google Sheets, and Azure and extended via pandas"
Pandas Profiling,"https://pandas-profiling.github.io/pandas-profiling/docs/master/rtd/
https://pypi.org/project/pandas-profiling/#modal-close
https://www.kaggle.com/nulldata/intro-to-pandas-profiling-simple-fast-eda
https://github.com/pandas-profiling/pandas-profiling
",MIT,2.6.0,4/14/2020,"JRE 11, Python 3.8","Windows, macOS, Linux","Python module for exploratory data analysis (EDA)

Generates profile reports from a pandas DataFrame. The pandas df.describe() function is great but a little basic for serious exploratory data analysis. pandas_profiling extends the pandas DataFrame with df.profile_report() for quick data analysis.

FEATURES:
-Type inference: detect the types of columns in a dataframe.
-Essentials: type, unique values, missing values
-Quantile statistics like minimum value, Q1, median, Q3, maximum, range, interquartile range
-Descriptive statistics like mean, mode, standard deviation, sum, median absolute deviation, coefficient of variation, kurtosis, skewness
-Most frequent values
-Histogram
-Correlations highlighting of highly correlated variables, Spearman, Pearson and Kendall matrices
-Missing values matrix, count, heatmap and dendrogram of missing values
-Text analysis learn about categories (Uppercase, Space), scripts (Latin, Cyrillic) and blocks (ASCII) of text data.

DATA SOURCES / FILE FORMATS:
Text: - CSV, fixed-width test files, JSON, HTML, Clipboard, Excel
Binary: OpenDocument, HDF5 Format, Feather Format, Parqeuet Format, ORC Format, Msgpak, Stata, SAS, SPSS, Python Pickle Format
SQL, Google BigQuery
"
Orange,"http://orange.biolab.si/
https://orange.biolab.si/getting-started/
https://orange-data-mining-library.readthedocs.io/en/latest/index.html
https://www.javatpoint.com/orange-data-mining
", GNU [GPL-3.0]+ license,3.24.1,1/19/2020,,"Windows, macOS, Linux","Data visualization, machine learning, data profiling and mining toolkit

Open source machine learning and data visualization for novice and expert. Interactive data analysis workflows with a large toolbox. Orange consists of a canvas interface onto which the user places widgets and creates a data analysis workflow. Widgets offer basic functionalities such as reading the data, showing a data table, selecting features, training predictors, comparing learning algorithms, visualizing data elements, etc. The user can interactively explore visualizations or feed the selected subset into other widgets.

Data mining is done through visual programming or Python scripting.  Python scrips can run in a terminal window, integrated environments ly PyCharm and PythonWin, or shells like iPython.

The tool has components for machine learning, add-ons for bioinformatics and text mining and it is packed with features for data analytics.

Orange consists of a canvas interface onto which the user places widgets and creates a data analysis workflow.  Widgets off basic functionalities such as reading the data, showing a data table, selecting features, training predictors, comparing learning algorithms, visualizing data elements, etc.  The user can interactively explore visualizations or feed the selected subset into other widgets.
In Orange, data analysis process can be designed through visual programming.  Orange remembers the choices, suggests most frequently used combinations.  Orange has features for different visualization, such as scatterplots, bar charts, trees, to dendorograms, networks and heatmaps.   There are over 100 widgets for standard data analysis and specialized add-ons for Bioorange for bioinformatics.

Core Orange supports Excel, comma- and tab-delimited files (.xlsx, .csv, .tab). It also reads online data, such as Google Spreadsheets. SQL widget supports PostgreSQL and MSSQL databases. Add-ons can load additional formats. For example, Orange3-ImageAnalytics add-on can import images (.jpg, .tiff, .png) and Orange3-Text add-on can import text files (.txt, .docx, .pdf).

FEATURES
Canvas: graphical front-end for data analysis        
Widgets:        
Data: widgets for data input, data filtering, sampling, imputation, feature manipulation and feature selection        
Visualize: widgets for common visualization (box plot, histograms, scatter plot) and multivariate visualization (mosaic display, sieve diagram).        
Classify: a set of supervised machine learning algorithms for classification        
Regression: a set of supervised machine learning algorithms for regression        
Evaluate: cross-validation, sampling-based procedures, reliability estimation and scoring of prediction methods        
Unsupervised: unsupervised learning algorithms for clustering (k-means, hierarchical clustering) and data projection techniques (multidimensional scaling, principal component analysis, correspondence analysis).        
Add-ons:        
Associate: widgets for mining frequent itemsets and association rule learning        
Bioinformatics: widgets for gene set analysis, enrichment, and access to pathway libraries        
Data fusion: widgets for fusing different data sets, collective matrix factorization, and exploration of latent factors        
Educational: widgets for teaching machine learning concepts, such as k-means clustering, polynomial regression, stochastic gradient descent        
Geo: widgets for working with geospatial data        
Image analytics: widgets for working with images and ImageNet embeddings        
Network: widgets for graph and network analysis        
Text mining: widgets for natural language processing and text mining        
Time series: widgets for time series analysis and modeling        
Spectroscopy: widgets for analyzing and visualization of (hyper)spectral datasets

DATA SOURCES / FILE FORMATS:
Excel (.xlsx), simple tab-delimited (.txt), comma-separated files (.csv) or Google Sheets document
distance matrix: Distance File
predictive model: Load Model
network: Network File from Network add-on
images: Import Images from Image Analytics add-on
several spectroscopy files: Multifile from Spectroscopy add-on
PostgreSQL, SQL, online repository, and extended via pandas"
RapidMiner,"https://www.rapidminer.com

https://github.com/rapidminer/rapidminer-studio

https://academy.rapidminer.com/",GNU General Public License version 3.0 (GPLv3),7.3.0,,"OpenJDK 8, 64-bit recommended 
Minimum:  Dual core, 2GHz processor, 4GB RAM, >1GB free disk space, Resolution: 1280x1024
Recommended: Quad core, 3GHz or faster processor, 16GB RAM, >100GB free disk space","Windows, macOS, Linux","Integrated environment for data preparation, machine learning, deep learning, text mining, and predictive analytics

LIMITED FREE VERSION:
-10,000 Data Rows
-1 Logical Processor
-Community Support
-30 Day Trial of Enterprise

Easy-to-use visual environment for predictive analytics. No programming required. RapidMiner is easily the most powerful and intuitive graphical user interface for the design of analysis processes. Forget sifting through code! You can also choose to run in batch mode. Whatever you prefer, RapidMiner has it all.

RapidMiner Python package:
Both Studio and Server classes provide a read and a write method for reading / writing data and other objects, and a run method to run processes. The method signatures are the same, with somewhat different extra parameters.

Studio class requires a local Studio installation and is suitable in the following cases:

Implementing certain data science steps in Python using your favorite IDE or notebook implementation. You may even use the resulting code afterwards in a RapidMiner process within an Execute Python operator.
You are using coding primarily, but you want to incorporate methods that are impemented in a RapidMiner process.
Creating batch tasks that also interact with the repository and / or run processes.
Server class connects directly to a Server instance without the need of a Studio installation. It is suitable in the following cases:

Collaborating with RapidMiner users, sharing data easily.
Calling, running, scheduling processes on the RapidMiner Server platform from a local script 

DATA SOURCES / FILE FORMATS:

Files: CSV, Stata, Hyper (Tableau), XLS, XML, QLikView, and more
SQL: AccessDB, HSQLDB, Microsoft SQL Server (JTDS / Microsoft), MySQL, Oracle, PostgreSQL, Sybase
NoSQL: Cassandra, MongoDB, Solr, Splunk (read only)
Cloud services: Amazon S3, Azure blog and data lake, Dropbox, Google, Salesforce, Twitter, Zapier, Salesforce
"
WEKA,"https://sourceforge.net/projects/weka/

https://www.cs.waikato.ac.nz/ml/weka/
",GNU General Public License version 3.0 (GPLv3),3.8.4,12/20/2019,,"Windows, macOS, Linux","Machine learning software to solve data mining problems

Weka is a collection of machine learning algorithms for solving real-world data mining problems. It is written in Java and runs on almost any platform. The algorithms can either be applied directly to a dataset or called from your own Java code.
It incorporates representation and prescient investigation and displaying strategies, grouping, afiliation, relapse and order.
Weka is tried and tested open source machine learning software that can be accessed through a graphical user interface, standard terminal applications, or a Java API. It is widely used for teaching, research, and industrial applications, contains a plethora of built-in tools for standard machine learning tasks, and additionally gives transparent access to well-known toolboxes such as scikit-learn, R, and Deeplearning4j.

Weka contains a collection of visualization tools and algorithms for data analysis and predictive modeling, together with graphical user interfaces for easy access to these functions.

Weka supports several standard data mining tasks, more specifically, data preprocessing, clustering, classification, regression, visualization, and feature selection. All of Weka's techniques are predicated on the assumption that the data is available as one flat file or relation, where each data point is described by a fixed number of attributes (normally, numeric or nominal attributes, but some other attribute types are also supported). Weka provides access to SQL databases using Java Database Connectivity and can process the result returned by a database query. 

Weka is not capable of multi-relational data mining, but there is separate software for converting a collection of linked database tables into a single table suitable for processing using Weka. Another important area that is currently not covered by the algorithms included in the Weka distribution is sequence modeling.

FEATURES:
machine learning        
data mining        
preprocessing        
classification        
regression        
clustering        
association rules        
attribute selection        
experiments        
visualization        
workflow        

DATA SOURCES / FILE FORMATS:
Arff, JSON, CSV, xrff, dat, data, names, and more
Database using ODBC
"
Anonimatron,"https://realrolfje.github.io/anonimatron/

https://github.com/realrolfje/anonimatron",MIT License,1.13.0,4/1/2020,Java 1.8,"Windows, macOS, Linux","Pseudonymizes datasets

Anonimatron is a tool that pseudonymizes datasets and that can be used to generate pseudonymized production data to find a bug or do performance tests outside of the client’s production environment.
With release of the GDPR, a feature was added that enables the anonymization of files. You can configure a column to be anonymized without storing the generated synonyms for later runs.

FEATURES:
Anonymize data in databases and files.
Generates fake email addresses, fake Roman names, and UUID’s out of the box.
Easy to configure, automatically generates example config file.
Anonymized data is consistent between runs. No need to re-write your tests to handle random data.
Extendable, easily implement and add your own anonymization handlers
Multi database, uses SQL92 standards and supports Oracle, PostgreSQL and MySQL out of the box. Anonimatron will autodetect the following JDBC drivers: DB2, MsSQL, Cloudscape, Pointbase, Firebird, IDS, Informix, Enhydra, Interbase, Hypersonic, jTurbo, SQLServer and Sybase.

DATA SOURCES / FILE FORMATS:
Oracle, PostgreSQL, MySQL, DB2, MsSQL, Cloudscape, Pointbase, Firebird, IDS, Informix, Enhydra, Interbase, Hypersonic, jTurbo, SQLServer and Sybase"
ARX Data Anonymization,"https://arx.deidentifier.org/
https://arx.deidentifier.org/overview/
https://arx.deidentifier.org/downloads/
https://github.com/arx-deidentifier/arx
https://github.com/arx-deidentifier/arx/tree/master/src/example/org/deidentifier/arx/examples
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4419984/",Apache License 2.0,3.8.0,11/17/2019,ARX uses external libraries. Their licenses are listed in the respective folders.,"Windows, Linux, Mac OS","Scalable Data Anonymization Tool - supports multiple privacy models

ARX is a comprehensive open source software for anonymizing sensitive personal data. It supports a wide variety of (1) privacy and risk models, (2) methods for transforming data and (3) methods for analyzing the usefulness of output data. It supports various anonymization techniques, methods for analyzing data quality and re-identification risks and it supports well-known privacy models, such as k-anonymity, l-diversity, t-closeness and differential privacy.
ARX is an open source tool for transforming structured (i.e. tabular) personal data using selected methods from the broad areas of data anonymization and statistical disclosure control. It supports transforming datasets in ways that make sure that they adhere to user-specified privacy models and risk thresholds that mitigate attacks that may lead to privacy breaches. ARX can be used to remove direct identifiers (e.g. names) from datasets and to enforce further constraints on indirect identifiers. Indirect identifiers (or quasi-identifiers, or keys) are attributes that do not directly identify an individual but may together with other indirect identifiers form an identifier that can be used for linkage attacks. It is typically assumed that information about indirect identifiers is available to the attacker (in some form of background knowledge) and that they cannot simply be removed from the dataset (e.g. because they are required later for analyses). ARX also supports methods for protecting sensitive attributes from disclosure and semantic privacy models, which require fewer assumptions to be made about the goals and the background knowledge of attackers.
The software has been used in a variety of contexts, including commercial big data analytics platforms, research projects, clinical trial data sharing and for training purposes.
ARX is able to handle large datasets on commodity hardware and it features an intuitive cross-platform graphical user interface. 
ARX is also available as a comprehensive software library with a clean API that delivers data anonymization capabilities to any Java program.
ARX provides compatibility with SQL databases, MS Excel and CSV files. Moreover, it supports data cleansing and can handle incomplete and dirty data.

DATA SOURCES / FILE FORMATS:
CSV files, MS Excel spreadsheets 
Relational database systems, such as MS SQL, DB2, MySQL or PostgreSQL
"
WhiteRabbit,https://github.com/OHDSI/WhiteRabbit,Apache License 2.0,0.9.0,12/31/2019,Requires Java 1.8 (licensed) or higher and read access to the database to be scanned,"Windows, macOS, Linux","Tool to help prepare for ETLs of healthcare datasets

WhiteRabbit is a small application that can be used to analyze the structure and contents of a database as preparation for designing an ETL. It comes with RabbitInAHat, an application for interactive design of an ETL to the OMOP Common Data Model with the help of the scan report generated by White Rabbit. WhiteRabbit’s main function is to perform a scan of the source data, providing detailed information on the tables, fields, and values that appear in a field. This scan will generate a report that can be used as a reference when designing the ETL, for instance by using the Rabbit-In-a-Hat tool. White Rabbit differs from standard data profiling tools in that it attempts to prevent the display of personally identifiable information (PII) data values in the generated output data file.

FEATURES:
Can scan databases in SQL Server, Oracle, PostgreSQL, MySQL, MS Access, Amazon RedShift, Google BigQuery, SAS files and CSV files        
The scan report contains information on tables, fields, and frequency distributions of values - this is a single Excel File
Cutoff on the minimum frequency of values to protect patient privacy        
WhiteRabbit can be run with a graphical user interface or from the command prompt        
Interactive tool (Rabbit in a Hat) for designing the ETL using the scan report as basis        
Rabbit in a Hat generates ETL specification document according to OMOP template        

DATA SOURCES / FILE FORMATS:
comma-separated text files
MySQL, SQL Server, Oracle, PostgreSQL, Microsoft APS, Microsoft Access, Amazon RedShift, Google BigQuery
"
Aggregate Profiler (AP),"https://sourceforge.net/projects/dataquality/

http://www.arrahtech.com/docs/installation_guide.html",GNU General Public License version 3.0 (GPLv3),v6.3.0,4/27/2020,JDK / JRE 1.7.0_07 or above,"Windows, Solaris, Linux","Data profiling and analysis tool - User Ratings: 4.8/5
Also known as Open Source Data Quality and Profiling.  Features Mysql, Oracle,Postgres,Access,Db2,SQL Server certified Big data support - HIVE Format Creation, Format Matching ( Phone, Date, String and Number), Format standardization Fuzzy Logic based similarity check, Cardinailty check between tables and files Export and import from XML, XLS or CSV format, PDF export File Analysis, Regex search, Standardization, DB search Complete DB Scan, SQL interface, Data Dictionary, Schema Comparison Statistical Analysis, Reporting ( dimension and measure based), Ad Hoc reports and Analytics Pattern Matching , DeDuplication, Case matching, Basket Analysis, Distribution Chart Data generation and Data masking features Meta Data Information, Reverse engineering of Data Model Timeliness analysis , String length analysis Address Correction, Single View of Customer, Product, Golden merge for records Record Match, Linkage and Merge added based on fuzzy logic

Features:
-Data profiling, filtering, and governance
-Similarity checks
-Data enrichment
-Real time alerting for data issues or changes
-Basket analysis with bubble chart validation
-Single customer view
-Dummy data creation
-Metadata discovery
-Anomaly discovery and data cleansing tool
-Hadoop integration

DATA SOURCES / FILE FORMATS:
 XML, XLS or CSV format, PDF export
Teiid, Mysql, Oracle, Postgres, Access, Db2, SQL Server certified Big data support - HIVE
"
Talend Open Studio for Data Integration,"https://www.talend.com/products/data-integration/data-integration-open-studio

https://www.talend.com/resources/what-is-data-integration/?type=productspage

https://www.datamation.com/big-data/talend-open-studio-data-integration.html",Apache License 2.0,,,"It requires 3GB RAM (4 GB recommended) and 3 GB of storage space, as well as Java and database drivers.
Deployment: On-premises","Windows, Ubuntu or macOS","LIMITED FREE VERSION
Data integration and ETL

Free; prices for supported version not provided
Talend Open Studio for Data Integration is a free-to-download software to kickstart your first data integration and ETL projects.
Talend Open Studio for Data Integration is the company's open source solution for ETL. It features an Eclipse-based development environment that will be familiar to developers, ELT and ETL support, versioning, and a long list of connectors. Additional features are available through the company's other open source projects, including Data Streams Free Edition, Open Studio for Big Data, Open Studio for Data Quality, Open Studio for ESB and Open Studio for MDM.

The company also offers a commercial solution called Talend Data Management Platform that is based on the same code. It adds rich development tools, an administration center, monitoring console, data preparation, data quality, high availability and other features, as well as paid support. 

More than 900 pre-built connectors and components for Oracle, Teradata, Microsoft SQL server, Marketo, Salesforce, NetSuite, SAP, Microsoft Dynamics, Sugar CRM, Dropbox, Box, SMTP, FTP/SFTP, LDAP, and more

Key Capabilities
-ETL and ELT support
-Eclipse-based development tooling
-Versioning
-Large library of connectors
-Data flow orchestration
-File management without scripting
-Data transformations

DATA SOURCES / FILE FORMATS:
More than 900 pre-built connectors and components for Oracle, Teradata, Microsoft SQL server, Marketo, Salesforce, NetSuite, SAP, Microsoft Dynamics, Sugar CRM, Dropbox, Box, SMTP, FTP/SFTP, LDAP, and more
"
